"","district","price","lat","lng"
"154","浦东",59385,31.2898976,121.5941342
"155","浦东",41502,31.19321341,121.6975647
"156","浦东",49681,31.28082204,121.587369
"157","浦东",56667,31.268962,121.614325
"158","浦东",50172,31.106017,121.597431
"159","浦东",43060,31.348925,121.579652
"160","浦东",42659,31.11579909,121.5917172
"161","浦东",89164,31.229917,121.564362
"162","浦东",59107,31.19501562,121.5407118
"163","浦东",69024,31.160563,121.517716
"164","浦东",56599,31.24864852,121.5852184
"165","浦东",43364,31.34149663,121.5967476
"166","浦东",55271,31.1848576,121.5593702
"167","浦东",70763,31.266484,121.592369
"168","浦东",53013,31.27461728,121.5962493
"169","浦东",67900,31.16548251,121.4920908
"170","浦东",62858,31.31586729,121.5897196
"171","浦东",44705,31.34641069,121.5796874
"172","浦东",27147,31.120510351153,121.57645812233
"173","浦东",60784,31.183146,121.521319
"174","浦东",114456,31.224628,121.576342
"175","浦东",25012,31.27311212,121.5779691
"176","浦东",62335,31.199051,121.518163
"177","浦东",83146,31.205845,121.537297
"178","浦东",94900,31.245341,121.539745
"179","浦东",56368,31.15651089,121.5072719
"180","浦东",57323,31.24610177,121.5732661
"181","浦东",61235,31.26740368,121.5993383
"182","浦东",47274,31.11879328,121.5760625
"183","浦东",61868,31.15065,121.519165
"184","浦东",50755,31.26809203,121.6048252
"185","浦东",60626,31.189068,121.518685
"186","浦东",87397,31.242993,121.580856
"187","浦东",86753,31.244375,121.5281
"188","浦东",49008,31.129638,121.570909
"189","浦东",60482,31.20231336,121.5667793
"190","浦东",55658,31.174838,121.523742
"191","浦东",51739,31.297071,121.586666
"192","浦东",62309,31.28462762,121.5991891
"193","浦东",60311,31.194388,121.537361
"194","浦东",82058,31.261946,121.579989
"195","浦东",63282,31.212481,121.658002
"196","浦东",61542,31.185708,121.51043
"197","浦东",87193,31.246883,121.537927
"198","浦东",23745,30.91779106,121.8111832
"199","浦东",105798,31.231159,121.52627
"200","浦东",60156,31.223134,121.625275
"201","浦东",82499,31.231277,121.522882
"202","浦东",74590,31.1533,121.541095
"203","浦东",67385,31.10752569,121.5811905
"204","浦东",91052,31.187407,121.542584
"205","浦东",60207,31.202218,121.570457
"206","浦东",60989,31.214787,121.520333
"207","浦东",39802,31.19136103,121.6999222
"208","浦东",100132,31.23366364,121.5279232
"209","浦东",77756,31.24271833,121.526802
"210","浦东",75732,31.19034135,121.5328262
"211","浦东",51241,31.1477445,121.526015
"212","浦东",58509,31.18957339,121.5581561
"213","浦东",53532,31.27218764,121.589602
"214","浦东",35897,31.201939,121.678161
"215","浦东",43691,31.34776718,121.5912018
"216","浦东",49270,31.28179854,121.6694019
"217","浦东",59252,31.26934761,121.5967297
"218","浦东",82994,31.230854,121.524557
"219","浦东",95749,31.213217,121.566444
"220","浦东",40438,31.188013,121.760221
"221","浦东",73006,31.207959,121.55031
"222","浦东",69640,31.22589817,121.5263296
"223","浦东",115790,31.231823,121.515428
"224","浦东",51806,31.165126,121.544263
"225","浦东",50108,31.204665,121.637073
"226","浦东",56744,31.28907887,121.6215784
"227","浦东",46834,31.2636889,121.6046147
"228","浦东",56448,31.15977,121.588835
"229","浦东",78401,31.182685,121.542859
"230","浦东",42685,31.13339451,121.6018042
"231","浦东",61462,31.21039754,121.6587671
"232","浦东",75305,31.20489,121.542476
"233","浦东",47692,31.108092,121.582201
"234","浦东",35322,31.038313,121.661377
"235","浦东",36579,31.035482,121.661513
"236","浦东",65925,31.160076,121.539053
"237","浦东",43453,31.10161416,121.592106
"238","浦东",61795,31.20142,121.520758
"239","浦东",63236,31.252797,121.557044
"240","浦东",96771,31.234497,121.569424
"241","浦东",42748,31.0968633,121.59436
"242","浦东",38974,31.0406535,121.6028331
"243","浦东",60643,31.185774,121.506795
"244","浦东",49570,31.190638,121.716152
"245","浦东",80452,31.167328,121.578753
"246","浦东",49735,31.30720078,121.6202649
"247","浦东",51281,31.17677686,121.5571847
"248","浦东",76074,31.163903,121.531898
"249","浦东",50409,31.204217,121.632642
"250","浦东",51811,31.114223,121.586208
"251","浦东",61321,31.252936,121.556823
"252","浦东",81293,31.232919,121.561114
"253","浦东",34866,31.108802,121.61712
"254","浦东",94364,31.231096,121.567274
"255","浦东",75320,31.246548,121.564327
"256","浦东",99490,31.23799506,121.5351162
"257","浦东",48911,31.138205,121.584255
"258","浦东",66023,31.162636,121.579176
"259","浦东",44508,31.128658,121.606772
"260","浦东",83981,31.217388,121.544671
"261","浦东",67951,31.291724,121.601825
"262","浦东",49366,31.27115521,121.6084109
"263","浦东",45138,31.259948,121.686774
"264","浦东",72545,31.250006,121.594161
"265","浦东",76852,31.216424,121.549935
"266","浦东",46839,31.132273,121.591534
"267","浦东",44108,31.155856,121.569304
"268","浦东",56188,31.10710968,121.5874849
"269","浦东",69841,31.251705,121.56326
"270","浦东",83107,31.31238769,121.5934244
"271","浦东",51377,31.179046,121.554494
"272","浦东",43636,31.13125946,121.6051062
"273","浦东",58397,31.162249,121.578581
"274","浦东",71745,31.224111,121.530817
"275","浦东",78780,31.22513046,121.5326453
"276","浦东",55371,31.22197164,121.6193856
"277","浦东",106538,31.155039,121.526828
"278","浦东",52672,31.209192,121.556841
"279","浦东",59219,31.25253,121.561216
"280","浦东",94942,31.22878914,121.5305012
"281","浦东",66291,31.212499,121.629006
"282","浦东",53254,31.159254,121.573916
"283","浦东",41307,31.101194,121.591374
"284","浦东",66857,31.147988,121.521831
"285","浦东",52008,31.15013281,121.5288861
"286","浦东",67073,31.1788743,121.4862255
"287","浦东",83269,31.241646,121.553526
"288","浦东",46774,31.28720279,121.6192976
"289","浦东",31792,31.04971812,121.7699511
"290","浦东",74445,31.22892091,121.5258052
"291","浦东",75035,31.304624,121.597292
"292","浦东",59773,31.165334,121.498509
"293","浦东",41212,31.083986,121.606653
"294","浦东",40038,31.03933,121.772119
"295","浦东",56578,31.255299,121.565495
"296","浦东",105243,31.237614,121.512398
"297","浦东",56274,31.19234107,121.5656415
"298","浦东",86161,31.290255,121.627698
"299","浦东",71039,31.225212,121.620976
"300","浦东",62133,31.273674,121.593539
"301","浦东",69775,31.21060033,121.5359157
"302","浦东",35799,31.17706107,121.7410363
"303","浦东",46457,31.19724171,121.6743167
"304","浦东",144523,31.22778,121.517812
"305","浦东",81410,31.229705,121.528983
"306","浦东",63404,31.183998,121.507198
"307","浦东",47582,31.19675,121.674191
"308","浦东",30148,31.24622688,121.5661611
"309","浦东",59088,31.291502,121.614395
"310","浦东",28003,31.156072,121.577027
"311","浦东",66924,31.215439,121.53037
"312","浦东",46883,31.28420083,121.6878478
"313","浦东",61173,31.17784,121.488165
"314","浦东",67302,31.153745,121.542432
"315","浦东",47561,31.124325,121.607752
"316","浦东",65420,31.15652418,121.516748
"317","浦东",46319,31.178705,121.698307
"318","浦东",102968,31.225384,121.5882
"319","浦东",58117,31.291097,121.614368
"320","浦东",81778,31.238416,121.582229
"321","浦东",74808,31.14983971,121.5248736
"322","浦东",34275,31.032026,121.582993
"323","浦东",73178,31.250716,121.552557
"324","浦东",69848,31.212528,121.552323
"325","浦东",107092,31.234402,121.545231
"326","浦东",70053,31.185818,121.513655
"327","浦东",77171,31.242787,121.549308
"328","浦东",68795,31.228404,121.523797
"329","浦东",44345,31.33530724,121.6242076
"330","浦东",47607,31.223775,121.599927
"331","浦东",78728,31.187371,121.551691
"332","浦东",44560,31.34815707,121.5794234
"333","浦东",48130,31.182795,121.698436
"334","浦东",53891,31.20407395,121.6410064
"335","浦东",57323,31.143293,121.519384
"336","浦东",54471,31.030361,121.595426
"337","浦东",60485,31.253643,121.57003
"338","浦东",21777,30.98231932,121.8779524
"339","浦东",63079,31.28151558,121.5964369
"340","浦东",42530,31.33935124,121.619991
"341","浦东",55124,31.15327771,121.5044422
"342","浦东",57814,31.288439,121.590878
"343","浦东",49300,31.28203,121.60687
"344","浦东",95371,31.226518,121.577287
"345","浦东",70393,31.218117,121.532922
"346","浦东",45506,31.132214,121.594096
"347","浦东",71611,31.248785,121.549684
"348","浦东",34497,31.044989,121.775923
"349","浦东",42271,31.34153584,121.5780456
"350","浦东",46576,31.332312,121.601814
"351","浦东",51593,31.207126,121.640522
"352","浦东",60211,31.217762,121.538214
"353","浦东",59035,31.156254,121.537152
"354","浦东",47675,31.34431,121.591841
"355","浦东",38624,31.20249398,121.6978049
"356","浦东",49748,31.180412,121.630193
"357","浦东",50702,31.27357292,121.6060329
"358","浦东",85005,31.191295,121.528598
"359","浦东",59219,31.184486,121.522948
"360","浦东",37408,31.17622158,121.7431256
"361","浦东",42677,31.354634,121.590969
"362","浦东",51232,31.195311,121.568109
"363","浦东",42971,31.12455711,121.6237115
"364","浦东",66701,31.251387,121.559709
"365","浦东",58565,31.192422,121.550074
"366","浦东",83711,31.24411084,121.5319012
"367","浦东",65701,31.179456,121.504375
"368","浦东",94534,31.231396,121.665375
"369","浦东",46891,31.333602,121.588499
"370","浦东",51140,31.209042,121.630116
"371","浦东",61332,31.203131,121.521992
"372","浦东",45663,31.29282898,121.6807121
"373","浦东",79877,31.138482,121.549617
"374","浦东",56343,31.23052648,121.5181956
"375","浦东",73518,31.156401,121.501628
"376","浦东",95713,31.239542,121.554268
"377","浦东",63464,31.279334,121.593511
"378","浦东",58036,31.26678585,121.6056179
"379","浦东",54809,31.188078,121.526556
"380","浦东",19747,30.87922853,121.8656305
"381","浦东",71403,31.22385267,121.5283359
"382","浦东",61170,31.18016662,121.5098692
"383","浦东",72478,31.222569,121.526549
"384","浦东",61059,31.19634399,121.5169849
"385","浦东",36619,31.28630589,121.6728171
"386","浦东",72803,31.22249571,121.5315071
"387","浦东",74301,31.223443,121.5245904
"388","浦东",37758,31.12580047,121.5543627
"389","浦东",88667,31.216017,121.655856
"390","浦东",53198,31.27811709,121.6006748
"391","浦东",42802,31.290302,121.612228
"392","浦东",85983,31.16574402,121.5361858
"393","浦东",69165,31.211741,121.523045
"394","浦东",68926,31.246492,121.562895
"395","浦东",41588,31.37114225,121.5498798
"396","浦东",42492,31.37378681,121.5500912
"397","浦东",63838,31.149968,121.580253
"398","浦东",42731,31.19756288,121.7150104
"399","浦东",40564,31.20202981,121.6944634
"400","浦东",84744,31.214566,121.558072
"401","浦东",106227,31.198949,121.542044
"402","浦东",51809,31.29036511,121.5860881
"403","浦东",43929,31.12496952,121.5809816
"404","浦东",70263,31.166856,121.506876
"405","浦东",52208,31.14821319,121.5353902
"406","浦东",20725,30.90512717,121.8249425
"407","浦东",56121,31.208991,121.643711
"408","浦东",73117,31.162095,121.523349
"409","浦东",22432,30.90982613,121.835778
"410","浦东",57951,31.200361,121.567343
"411","浦东",61906,31.18123101,121.709398
"412","浦东",75746,31.15455356,121.5331007
"413","浦东",52362,31.11042832,121.5800294
"414","浦东",60277,31.20195891,121.5634031
"415","浦东",50192,31.28147688,121.5893439
"416","浦东",47354,31.287204,121.61556
"417","浦东",41071,31.306372918348,121.59509257724
"418","浦东",36828,31.071599,121.719491
"419","浦东",77657,31.251882,121.55365
"420","浦东",63542,31.175519,121.492301
"421","浦东",49430,31.339545,121.581049
"422","浦东",48651,31.28129976,121.6845829
"423","浦东",54128,31.24693791,121.5287265
"424","浦东",62706,31.21275281,121.5204928
"425","浦东",54270,31.162055,121.574644
"426","浦东",62457,31.2543518,121.5565439
"427","浦东",53993,31.15762,121.580156
"428","浦东",48637,31.28775499,121.5836282
"429","浦东",53343,31.27607,121.674382
"430","浦东",54157,31.183399,121.60988
"431","浦东",52048,31.303836,121.620203
"432","浦东",34576,31.06031683,121.7451161
"433","浦东",35785,31.19666303,121.6931618
"434","浦东",60592,31.202997,121.574892
"435","浦东",61098,31.198847,121.537613
"436","浦东",82390,31.234007,121.560048
"437","浦东",61114,31.17198095,121.4891253
"438","浦东",37113,31.351591,121.594056
"439","浦东",69367,31.156244,121.54146
"440","浦东",35804,31.23750443,121.7327464
"441","浦东",86668,31.25931,121.578587
"442","浦东",75526,31.191306,121.540344
"443","浦东",60110,31.26619797,121.5941785
"444","浦东",52634,31.29023928,121.5858964
"445","浦东",47045,31.35846088,121.5872093
"446","浦东",96609,31.239928,121.545791
"447","浦东",31867,31.21638393,121.6331624
"448","浦东",99181,31.185842,121.554228
"449","浦东",63800,31.199708,121.515511
"450","浦东",39639,31.337738,121.624301
"451","浦东",58392,31.18549714,121.558581
"452","浦东",101212,31.261703,121.582859
"453","浦东",56051,31.17052106,121.5415448
"454","浦东",38518,31.12581745,121.5808631
"455","浦东",73805,31.24425,121.551869
"456","浦东",54259,31.150138,121.625365
"457","浦东",58179,31.1914365,121.5567625
"458","浦东",66493,31.137415,121.571188
"459","浦东",75830,31.20540028,121.5258563
"460","浦东",45875,31.13125946,121.6051062
"461","浦东",56325,31.14700334,121.498603
"462","浦东",77438,31.209985,121.531484
"463","浦东",90548,31.246646,121.51976
"464","浦东",60879,31.171764,121.501835
"465","浦东",61818,31.2630117,121.6061518
"466","浦东",33281,31.219009,121.738665
"467","浦东",72496,31.2131,121.55045
"468","浦东",47683,31.29163064,121.5828538
"469","浦东",33463,31.06092735,121.789582
"470","浦东",79135,31.208812,121.529382
"471","浦东",41633,31.27244985,121.6960437
"472","浦东",51909,31.294533,121.582243
"473","浦东",83474,31.23760155,121.5180057
"474","浦东",62292,31.166274,121.494292
"475","浦东",48505,31.128192,121.58207
"476","浦东",64742,31.19179432,121.543736
"477","浦东",35565,31.179089,121.610491
"478","浦东",81811,31.162293,121.536267
"479","浦东",51638,31.194481,121.642624
"480","浦东",57627,31.172159,121.50022
"481","浦东",82767,31.18028091,121.5317429
"482","浦东",31247,31.03238593,121.7684964
"483","浦东",39263,31.08728571,121.5951025
"484","浦东",32404,31.04579458,121.770068
"485","浦东",69480,31.18396,121.51274
"486","浦东",47857,31.27907266,121.6654139
"487","浦东",48816,31.340002,121.595495
"488","浦东",56172,31.296889,121.616471
"489","浦东",66834,31.247331,121.554008
"490","浦东",92872,31.227134,121.558105
"491","浦东",63032,31.247243,121.596798
"492","浦东",81054,31.267465,121.578976
"493","浦东",41426,31.32770551,121.6329409
"494","浦东",37789,31.14931052,121.6233224
"495","浦东",77853,31.243885,121.558826
"496","浦东",65382,31.208181,121.534118
"497","浦东",74819,31.21617,121.554649
"498","浦东",54332,31.16430083,121.5130351
"499","浦东",22228,30.904914,121.821033
"500","浦东",60543,31.17729136,121.560853
"501","浦东",56986,31.25317057,121.5656737
"502","浦东",59764,31.19681085,121.5324608
"503","浦东",67823,31.18280577,121.5002344
"504","浦东",43707,31.144002,121.610668
"505","浦东",63736,31.166547,121.513582
"506","浦东",54716,31.288457,121.590371
"507","浦东",38448,31.32226778,121.6383053
"508","浦东",21166,30.880518,121.858456
"509","浦东",35785,30.89873509,121.9151904
"510","浦东",47129,31.20890482,121.6615125
"511","浦东",36180,31.19731229,121.6952434
"512","浦东",79459,31.24409,121.563078
"513","浦东",84732,31.234068,121.562227
"514","浦东",83642,31.232848,121.527176
"515","浦东",56368,31.27076448,121.5920447
"516","浦东",72849,31.220102,121.532746
"517","浦东",68338,31.219653,121.530113
"518","浦东",33063,31.24508657,121.7274898
"519","浦东",98684,31.210805,121.543615
"520","浦东",85582,31.210696,121.558272
"521","浦东",39287,31.14410859,121.6182733
"522","浦东",52228,31.279851,121.597887
"523","浦东",62441,31.19082,121.551586
"524","浦东",50060,31.28179857,121.6074025
"525","浦东",64680,31.17399367,121.4882234
"526","浦东",65603,31.203488,121.569789
"527","浦东",63261,31.165931,121.499803
"528","浦东",46388,31.350665,121.594194
"529","浦东",93893,31.236511,121.53201
"530","浦东",71176,31.16972,121.506637
"531","浦东",87687,31.248526,121.59656
"532","浦东",113866,31.23831918,121.51825
"533","浦东",45150,31.21729133,121.534363
"534","浦东",44587,31.300592,121.582256
"535","浦东",54743,31.26924506,121.588533
"536","浦东",36534,31.19636939,121.6932207
"537","浦东",50633,31.2771964,121.598272
"538","浦东",57491,31.3384186,121.5982201
"539","浦东",51347,31.26820797,121.6086812
"540","浦东",71786,31.187757,121.520834
"541","浦东",66996,31.24693939,121.5322163
"542","浦东",42333,31.29855,121.583291
"543","浦东",61125,31.26789165,121.600618
"544","浦东",43345,31.116723,121.58888
"545","浦东",86598,31.243425,121.563539
"546","浦东",59939,31.19268021,121.5486346
"547","浦东",76093,31.21209,121.561828
"548","浦东",42405,31.142301,121.574963
"549","浦东",67881,31.234363,121.577407
"550","浦东",47092,31.28292662,121.5848135
"551","浦东",21169,30.9833351,121.8798941
"552","浦东",59416,31.275023,121.671608
"553","浦东",68354,31.26288166,121.5711005
"554","浦东",65239,31.160725,121.580315
"555","浦东",70252,31.248841,121.537703
"556","浦东",63043,31.18115,121.557273
"557","浦东",53279,31.265477,121.567276
"558","浦东",61137,31.16402156,121.5090858
"559","浦东",54857,31.18698174,121.5292551
"560","浦东",32826,31.24516569,121.7297597
"561","浦东",22717,30.91540565,121.8166533
"562","浦东",71317,31.204732,121.54639
"563","浦东",19700,30.90474195,121.8246417
"564","浦东",38404,31.199858,121.698058
"565","浦东",69428,31.208897,121.553987
"566","浦东",32083,31.206638,121.513906
"567","浦东",47255,31.13186173,121.589994
"568","浦东",66203,31.230755,121.576422
"569","浦东",47701,31.14325307,121.6086197
"570","浦东",55291,31.173287,121.53845
"571","浦东",24000,30.91312497,121.8201624
